,types,counts,distincts,nulls,missing_ration,uniques,skewness,kurtosis,corr SalePrice
AgeAsOfSale,int64,1453,122,0,0.0,"[array([5, 31, 7, 91, 8, 16, 3, 36, 77, 69, 43, 1, 46, 48, 78, 40, 39, 4,
       51, 6, 42, 2, 59, 49, 81, 88, 15, 55, 57, 53, 41, 24, 33, 47, 89,
       10, 72, 25, 52, 44, 0, 87, 12, 65, 34, 11, 56, 95, 60, 99, 14, 94,
       13, 45, 97, 90, 30, 76, 122, 54, 62, 20, 37, 68, 50, 71, 9, 38, 18,
       58, 70, 32, 35, 83, 84, 66, 19, 22, 86, 98, 114, 93, 75, 82, 17,
       106, 29, 96, 27, 92, 128, 61, 67, 21, 26, 108, 28, 63, 73, 74, 80,
       115, 126, 102, 85, 23, 110, 117, 129, 64, 100, 111, 104, 119, 127,
       107, 135, 109, 136, 103, 79, 125], dtype=object)]",0.6042243613523081,-0.4383510825572223,-0.5221253778781823
AgeGarageAsOfSale,float64,1453,137,0,0.0,"[array([0.0, 83.0, 62.0, 54.0, 1.0, -7.0, -1955.0, 2.0, -1920.0, 51.0, 7.0,
       15.0, 69.0, 5.0, 35.0, -1968.0, 56.0, 14.0, -1915.0, -1994.0,
       -10.0, -1959.0, 20.0, -1919.0, 40.0, -1935.0, -1930.0, -1971.0,
       48.0, -2004.0, -1924.0, -1956.0, -1940.0, 50.0, 12.0, 78.0, 101.0,
       17.0, -1912.0, 3.0, -1925.0, 18.0, 4.0, -1945.0, 29.0, 45.0, 26.0,
       11.0, 53.0, 88.0, 123.0, 21.0, -6.0, 38.0, 77.0, 44.0, 32.0,
       -1922.0, 22.0, -1910.0, -1941.0, 13.0, -1972.0, 70.0, 85.0, 33.0,
       -1978.0, 58.0, 6.0, -1900.0, -1946.0, 8.0, 27.0, 74.0, 37.0,
       -1990.0, 95.0, 43.0, -2.0, 42.0, -2007.0, -1914.0, 9.0, 57.0,
       -1936.0, -1970.0, 36.0, 47.0, 59.0, 99.0, 64.0, 106.0, 24.0, 19.0,
       10.0, -1.0, -1987.0, 34.0, 49.0, 41.0, 46.0, 79.0, -1961.0, 31.0,
       -1977.0, 73.0, 30.0, -1975.0, -1958.0, -1949.0, 87.0, -1923.0,
       -1926.0, -1965.0, -1916.0, -5.0, -1947.0, -1991.0, -1875.0, 52.0,
       72.0, 39.0, -1954.0, -1911.0, 75.0, 60.0, 93.0, -1931.0, -1872.0,
       89.0, 98.0, 16.0, -1985.0, 86.0, 71.0, -1974.0, -2006.0],
      dtype=object)]",-3.869535621797323,13.022099076170857,0.22993701516500437
BedroomAbvGr,int64,1453,8,0,0.0,"[array([3, 4, 1, 2, 0, 5, 6, 8], dtype=object)]",0.20781256266881104,2.2331564628251357,0.1716862593822699
BsmtFullBath,int32,1453,4,0,0.0,"[array([1, 0, 2, 3], dtype=object)]",0.5908409629195125,-0.8617614480436862,0.22895452427204074
ConditionIndex,int32,1453,19,0,0.0,"[array([24, 22, 20, 15, 26, 18, 16, 10, 17, 28, 11, 19, 13, 21, 12, 14, 6,
       9, 23], dtype=object)]",-1.2336818811635548,2.3836119215645963,0.4574702784783025
EnclosedPorch,int64,1453,120,0,0.0,"[array([0, 272, 228, 205, 176, 87, 172, 102, 37, 144, 64, 114, 202, 128,
       156, 44, 77, 192, 140, 180, 183, 39, 184, 40, 552, 30, 126, 96, 60,
       150, 120, 112, 252, 52, 224, 234, 244, 268, 137, 24, 108, 294, 177,
       218, 242, 91, 160, 130, 169, 105, 34, 248, 236, 32, 80, 115, 291,
       116, 158, 210, 36, 200, 84, 148, 136, 240, 54, 100, 189, 293, 164,
       216, 239, 67, 90, 56, 129, 98, 143, 70, 386, 154, 185, 134, 196,
       264, 275, 230, 254, 68, 194, 318, 48, 94, 138, 226, 174, 19, 170,
       220, 214, 280, 190, 330, 208, 145, 259, 81, 42, 123, 162, 286, 168,
       20, 301, 198, 221, 212, 50, 99], dtype=object)]",3.0803839109878917,10.361750858695277,-0.1276064486384096
Fireplaces,int64,1453,4,0,0.0,"[array([0, 1, 2, 3], dtype=object)]",0.6355438868910436,-0.2896602155628245,0.4697543856508318
FullBath,int64,1453,4,0,0.0,"[array([2, 1, 3, 0], dtype=object)]",0.03779636652990374,-0.869030040838183,0.5609903597184479
GarageCars,int32,1453,5,0,0.0,"[array([2, 3, 1, 0, 4], dtype=object)]",-0.34007882704642894,0.21699450190797487,0.6406859834626493
GoodOpenPorch,bool,1453,2,0,0.0,"[array([True, False], dtype=object)]",0.6990869135443807,-1.5133624719198011,0.37551057364595014
GoodScreenPorch,bool,1453,2,0,0.0,"[array([False, True], dtype=object)]",3.121031723460182,7.7515067913539175,0.09065302941349956
GoodWoodDeck,bool,1453,2,0,0.0,"[array([False, True], dtype=object)]",1.7078978679732062,0.9181770689658904,0.23024205195316572
HalfBath,int64,1453,3,0,0.0,"[array([1, 0, 2], dtype=object)]",0.6745761471199427,-1.0773361754837494,0.28827994425449444
KitchenAbvGr,int64,1453,4,0,0.0,"[array([1, 2, 3, 0], dtype=object)]",4.476086393544123,21.407394210474404,-0.13545245365390893
LotAreaGood,int32,1453,4,0,0.0,"[array([1, 2, 4, 3], dtype=object)]",1.062674556773479,1.1792459858103381,0.4059248800025252
MSSubClass,int64,1453,15,0,0.0,"[array([60, 20, 70, 50, 190, 45, 90, 120, 30, 85, 80, 160, 75, 180, 40],
      dtype=object)]",1.411934570488878,1.5946894422672306,-0.08513972595780173
QualIndex,int32,1453,60,0,0.0,"[array([75, 58, 71, 90, 47, 92, 67, 45, 113, 56, 69, 31, 32, 36, 24, 49,
       77, 109, 130, 60, 43, 73, 29, 38, 88, 62, 20, 33, 40, 79, 51, 68,
       54, 94, 111, 65, 41, 81, 132, 42, 48, 22, 107, 27, 34, 10, 52, 39,
       86, 26, 7, 96, 53, 128, 15, 35, 44, 25, 64, 46], dtype=object)]",0.7605847609648824,0.6071897857336266,0.8399223757968107
