,TotRmsAbvGrd,1stFlrSF,OverallQual,FullBath,LotFrontage,YearRemodAdd,YearBuilt,GrLivArea,ExterQual_3.0,ExterQual_5.0,ExterQual_7.0,ExterQual_9.0,ExterQual_nan
0,8,856,7,2,65.0,2003,2003,1710,0,0,1,0,0
1,6,1262,6,2,80.0,1976,1976,1262,0,1,0,0,0
2,6,920,7,2,68.0,2002,2001,1786,0,0,1,0,0
3,7,961,7,1,60.0,1970,1915,1717,0,1,0,0,0
4,9,1145,8,2,84.0,2000,2000,2198,0,0,1,0,0
5,5,796,5,1,85.0,1995,1993,1362,0,1,0,0,0
6,7,1694,8,2,75.0,2005,2004,1694,0,0,1,0,0
7,7,1107,7,2,0.0,1973,1973,2090,0,1,0,0,0
8,8,1022,7,2,51.0,1950,1931,1774,0,1,0,0,0
9,5,1077,5,1,50.0,1950,1939,1077,0,1,0,0,0
10,5,1040,5,1,70.0,1965,1965,1040,0,1,0,0,0
11,11,1182,9,3,85.0,2006,2005,2324,0,0,0,1,0
12,4,912,5,1,0.0,1962,1962,912,0,1,0,0,0
13,7,1494,7,2,91.0,2007,2006,1494,0,0,1,0,0
14,5,1253,6,1,0.0,1960,1960,1253,0,1,0,0,0
15,5,854,7,1,51.0,2001,1929,854,0,1,0,0,0
16,5,1004,6,1,0.0,1970,1970,1004,0,1,0,0,0
17,6,1296,4,2,72.0,1967,1967,1296,0,1,0,0,0
18,6,1114,5,1,66.0,2004,2004,1114,0,1,0,0,0
19,6,1339,5,1,70.0,1965,1958,1339,0,1,0,0,0
20,9,1158,8,3,101.0,2006,2005,2376,0,0,1,0,0
21,6,1108,7,1,57.0,1950,1930,1108,0,1,0,0,0
22,7,1795,8,2,75.0,2002,2002,1795,0,0,1,0,0
23,6,1060,5,1,44.0,1976,1976,1060,0,1,0,0,0
24,6,1060,5,1,0.0,2001,1968,1060,0,1,0,0,0
25,7,1600,8,2,110.0,2007,2007,1600,0,0,1,0,0
26,5,900,5,1,60.0,2000,1951,900,0,1,0,0,0
27,7,1704,8,2,98.0,2008,2007,1704,0,0,1,0,0
28,6,1600,5,1,47.0,1997,1957,1600,0,1,0,0,0
29,4,520,4,1,60.0,1950,1927,520,0,1,0,0,0
30,6,649,4,1,50.0,1950,1920,1317,0,1,0,0,0
31,6,1228,5,1,0.0,2006,1966,1228,0,1,0,0,0
32,7,1234,8,2,85.0,2007,2007,1234,0,0,1,0,0
33,6,1700,5,1,70.0,1959,1959,1700,0,1,0,0,0
