,AgeAsOfSale,AgeGarageAsOfSale,Alley,BedroomAbvGr,BldgType,BsmtExposure,BsmtFinType1,BsmtFinType2,BsmtFullBath,CentralAir,Condition1,ConditionIndex,EnclosedPorch,Exterior1st,Exterior2nd,Fence,FireplaceQu,Fireplaces,Foundation,FullBath,Functional,GarageCars,GarageFinish,GarageType,GoodOpenPorch,GoodScreenPorch,GoodWoodDeck,HalfBath,HasAGoodPool,Heating,HouseStyle,KitchenAbvGr,LandContour,LandSlope,LotAreaGood,LotConfig,LotShape,MSSubClass,MSZoning,MasVnrType,MiscFeature,Neighborhood,PavedDrive,QualIndex,RoofStyle,SaleCondition,SalePrice,SoldIn2008,Street,TotRmsAbvGrd,Utilities,YearsSinceRemod
0,5,0.0,None,3,1Fam,No,GLQ,Unf,1.0,Y,Norm,24,0,VinylSd,VinylSd,None,,0,PConc,2,Typ,2.0,RFn,Attchd,1,0,0,1,0,GasA,2Story,1,Lvl,Gtl,1,Inside,Reg,60,RL,BrkFace,None,CollgCr,Y,75,Gable,Normal,208500.0,0,Pave,8,AllPub,5
1,31,0.0,None,3,1Fam,Gd,ALQ,Unf,0.0,Y,Feedr,24,0,MetalSd,MetalSd,None,TA,1,CBlock,2,Typ,2.0,RFn,Attchd,0,0,1,0,0,GasA,1Story,1,Lvl,Gtl,1,FR2,Reg,20,RL,None,None,Veenker,Y,58,Gable,Normal,181500.0,0,Pave,6,AllPub,31
2,7,0.0,None,3,1Fam,Mn,GLQ,Unf,1.0,Y,Norm,24,0,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,2.0,RFn,Attchd,0,0,0,1,0,GasA,2Story,1,Lvl,Gtl,2,Inside,IR1,60,RL,BrkFace,None,CollgCr,Y,75,Gable,Normal,223500.0,0,Pave,6,AllPub,6
3,91,83.0,None,3,1Fam,No,ALQ,Unf,1.0,Y,Norm,24,272,Wd Sdng,Wd Shng,None,Gd,1,BrkTil,1,Typ,3.0,Unf,Detchd,0,0,0,0,0,GasA,2Story,1,Lvl,Gtl,1,Corner,IR1,70,RL,None,None,Crawfor,Y,71,Gable,Abnorml,140000.0,0,Pave,7,AllPub,36
4,8,0.0,None,4,1Fam,Av,GLQ,Unf,1.0,Y,Norm,24,0,VinylSd,VinylSd,None,TA,1,PConc,2,Typ,3.0,RFn,Attchd,1,0,0,1,0,GasA,2Story,1,Lvl,Gtl,2,FR2,IR1,60,RL,BrkFace,None,NoRidge,Y,90,Gable,Normal,250000.0,0,Pave,9,AllPub,8
5,16,0.0,None,1,1Fam,No,GLQ,Unf,1.0,Y,Norm,24,0,VinylSd,VinylSd,MnPrv,,0,Wood,1,Typ,2.0,Unf,Attchd,0,0,0,1,0,GasA,1.5Fin,1,Lvl,Gtl,2,Inside,IR1,50,RL,None,Shed,Mitchel,Y,47,Gable,Normal,143000.0,0,Pave,5,AllPub,14
6,3,0.0,None,3,1Fam,Av,GLQ,Unf,1.0,Y,Norm,24,0,VinylSd,VinylSd,None,Gd,1,PConc,2,Typ,2.0,RFn,Attchd,1,0,1,0,0,GasA,1Story,1,Lvl,Gtl,2,Inside,Reg,20,RL,Stone,None,Somerst,Y,92,Gable,Normal,307000.0,0,Pave,7,AllPub,2
7,36,0.0,None,3,1Fam,Mn,ALQ,BLQ,1.0,Y,PosN,24,228,HdBoard,HdBoard,None,TA,2,CBlock,2,Typ,2.0,RFn,Attchd,1,0,1,1,0,GasA,2Story,1,Lvl,Gtl,2,Corner,IR1,60,RL,Stone,Shed,NWAmes,Y,71,Gable,Normal,200000.0,0,Pave,7,AllPub,36
8,77,0.0,None,2,1Fam,No,Unf,Unf,0.0,Y,Artery,22,205,BrkFace,Wd Shng,None,TA,2,BrkTil,2,Min1,2.0,Unf,Detchd,0,0,0,0,0,GasA,1.5Fin,2,Lvl,Gtl,1,Inside,Reg,50,RM,None,None,OldTown,Y,67,Gable,Abnorml,129900.0,0,Pave,8,AllPub,58
9,69,0.0,None,2,2fmCon,No,GLQ,Unf,1.0,Y,Artery,24,0,MetalSd,MetalSd,None,TA,2,BrkTil,1,Typ,1.0,RFn,Attchd,0,0,0,0,0,GasA,1.5Unf,2,Lvl,Gtl,1,Corner,Reg,190,RL,None,None,BrkSide,Y,47,Gable,Normal,118000.0,0,Pave,5,AllPub,58
