,0
0,121738.85202041516
1,159746.81130540173
2,183829.26735792472
3,199048.30121371365
4,201270.41563790306
5,178673.21210446928
6,186745.57303186395
7,169761.46816784248
8,202003.02730848102
9,126937.83580516973
10,204279.37735542364
11,111574.21603427661
12,106398.69894469711
13,153012.06120706588
14,126222.86825327447
15,371599.26213181607
16,251340.25792880286
17,283707.5752136244
18,277102.56564791757
19,525543.0743299337
20,334872.76777807693
21,214538.1609793379
22,178648.87229874416
23,172180.89394851742
24,191795.96871726357
25,208465.0267355771
26,344870.89428566495
27,248885.61121887568
28,194497.5095232586
29,234242.69367245812
30,203908.56984038305
31,96852.63519866277
32,188676.47529834646
33,298617.5975939349
34,302038.86357524194
35,235424.74898989793
36,189002.4467124738
37,173766.60678189842
38,170900.97412673658
39,159689.3649734619
40,175637.39584557735
41,159753.8587320637
42,273313.78398411523
43,254986.6152076554
44,230247.95840303888
45,193113.94805749867
46,275722.18163766613
47,206589.75562262305
48,165345.6773677138
49,148514.92559088668
50,155616.14092835807
51,179949.2906273965
52,157987.83945502806
53,151716.02879543393
54,207386.33745991127
55,157612.60329536482
56,173683.8072065118
57,139797.2158710792
58,228676.84733562075
59,135084.347566026
60,135931.5818642284
61,188967.02245857884
62,118779.13677450214
63,116864.47297937996
64,126817.06209360498
65,111442.78772413066
66,115805.43705369985
67,143001.7455936841
68,148741.55186043316
69,185073.29794714975
70,114123.57688331412
71,94987.75422628998
72,140306.61047513812
73,128274.7538753938
74,156972.26156161126
75,112423.16460065433
76,77101.01400689354
77,145118.2896903308
78,198008.25190340917
79,103916.80356857367
80,132397.6950384559
81,153247.7839941172
82,192342.14724409304
83,87337.64875268262
84,113530.94407168472
85,139766.3564231783
86,124850.80015750117
87,131409.37763356545
88,120470.77247657457
89,136394.8499339198
90,116535.95044420974
91,143895.7154124477
92,141890.08140986235
93,126602.03079355895
94,168544.92681179888
95,97676.63727778703
96,106041.19565525332
97,110420.24160288779
98,77990.92005841383
99,142114.17799465012
100,131089.4871209908
101,133905.31555361944
102,127139.56297838995
103,164153.29330746902
104,160297.21641995403
105,240541.77353652404
106,87767.13140313799
107,240715.96135916992
108,142307.94621919244
109,139851.63945880823
110,130976.75483710147
111,146295.42762550933
112,245536.20239484464
113,139613.53531741098
114,258612.98824611746
115,248481.59539936302
116,186442.4366957316
117,142386.004463083
118,151244.3260369544
119,204167.3728284098
120,153335.1916417419
121,125299.03489982556
122,324493.2870404893
123,234484.15250761513
124,140905.2600920253
125,76664.44407204118
126,106705.68723578799
127,159576.1099826955
